Country,Medal,Lower,Upper
CIV,2.7873585,1.0513539447978428,6.183355537300054
MAW,2.7785683,1.0425637447978429,6.174565337300054
GDR,2.7714965,1.035491944797843,6.167493537300054
FRG,2.755283,1.019278444797843,6.1512800373000545
AND,2.7394032,1.003398644797843,6.135400237300054
BHU,2.5815127,0.8455081447978432,5.977509737300054
VNM,2.5019548,0.765950244797843,5.897951837300054
CZE,2.4999685,0.763963944797843,5.895965537300054
KGZ,2.4640782,0.7280736447978429,5.8600752373000535
BLR,2.4179175,0.6819129447978431,5.813914537300054
CAY,2.2743669,0.538362344797843,5.6703639373000545
BRA,2.206766,0.470761444797843,5.602763037300054
CAM,2.1946125,0.45860794479784284,5.590609537300054
CUB,2.1863818,0.4503772447978429,5.582378837300054
TJK,2.0975018,0.36149724479784284,5.493498837300054
SOM,2.0793295,0.34332494479784303,5.475326537300054
SCG,2.0162945,0.28028994479784286,5.412291537300054
BAR,1.9831191,0.2471145447978429,5.379116137300054
IOA,1.8954974,0.15949284479784298,5.291494437300054
CMR,1.8344675,0.0984629447978429,5.230464537300054
CAN,1.8057026,0.06969804479784303,5.201699637300054
SUI,1.7216011,-0.014403455202157023,5.117598137300054
PAN,1.673247,-0.06275755520215709,5.069244037300054
BRU,1.6318547,-0.10414985520215692,5.027851737300054
ISR,1.5155476,-0.2204569552021569,4.911544637300054
BAH,1.2596956,-0.4763089552021571,4.655692637300054
MKD,1.0159746,-0.720029955202157,4.411971637300054
NIG,0.7761668,-0.959837755202157,4.1721638373000545
FIJ,0.72855246,-1.007452095202157,4.124549497300054
MAS,0.57900465,-1.1569999052021571,3.975001687300054
PLE,0.46571648,-1.270288075202157,3.8617135173000543
JAM,0.24994886,-1.486055695202157,3.645945897300054
BDI,0.14777982,-1.588224735202157,3.5437768573000543
HON,0.1334418,-1.602562755202157,3.529438837300054
YMD,0.13230073,-1.603703825202157,3.528297767300054
LCA,0.0,-1.736004555202157,3.395997037300054
ZIM,0.0,-1.736004555202157,3.395997037300054
